ticker,quarter,lm_positive,lm_negative,lm_uncertainty,lm_litigious,lm_constraining,lm_net_sentiment,token_count,finbert_positive,finbert_negative,finbert_neutral,finbert_net_sentiment
AAPL,2021-Q1,0.0316586373021335,0.0160587290662996,0.0167469603119981,0.0004588208304657,0.002982335398027,0.0155999082358339,4359,0.3576349914073944,0.0864430963993072,0.5559218525886536,0.2711918950080871
AAPL,2021-Q2,0.031980040825584,0.0181447040145157,0.0136085280108868,0.0006804264005443,0.0047629848038103,0.0138353368110682,4409,0.3417813777923584,0.074116550385952,0.5841020941734314,0.2676648274064064
AAPL,2021-Q3,0.0418242491657397,0.0164627363737486,0.0162402669632925,0.0011123470522803,0.0048943270300333,0.025361512791991,4495,0.3261745870113373,0.0783562883734703,0.5954691767692566,0.2478182986378669
AAPL,2021-Q4,0.0255839822024471,0.0173526140155728,0.0140155728587319,0.0015572858731924,0.0071190211345939,0.0082313681868743,4495,0.292655885219574,0.0745196342468261,0.6328244209289551,0.2181362509727478
AAPL,2022-Q1,0.0341321713870733,0.0193657709997579,0.0167029774872912,0.0012103606874848,0.0072621641249092,0.0147664003873154,4131,0.3236418068408966,0.0761748552322387,0.6001833081245422,0.2474669516086578
AAPL,2022-Q2,0.0303529411764705,0.0216470588235294,0.0171764705882352,0.0011764705882352,0.0101176470588235,0.0087058823529411,4250,0.3000102043151855,0.1131484135985374,0.5868414044380188,0.1868617907166481
AAPL,2022-Q3,0.0291952894995093,0.0223258096172718,0.0193817468105986,0.0012266928361138,0.0066241413150147,0.0068694798822374,4076,0.2919581532478332,0.1376687735319137,0.5703731179237366,0.1542893797159195
AAPL,2022-Q4,0.0369843527738264,0.0189663347558084,0.0154101469890943,0.0014224751066856,0.0028449502133712,0.018018018018018,4218,0.3247943520545959,0.1073441803455352,0.5678614377975464,0.2174501717090606
AAPL,2023-Q1,0.0282685512367491,0.0219081272084805,0.0113074204946996,0.0007067137809187,0.0032979976442873,0.0063604240282685,4245,0.3038033545017242,0.1101074516773223,0.5860891938209534,0.1936959028244018
AAPL,2023-Q2,0.013784461152882205,0.017543859649122806,0.022556390977443608,0.007518796992481203,0.006265664160401002,-0.0037593984962406013,798,0.24247123301029205,0.09833188354969025,0.6591968536376953,0.1441393494606018
AAPL,2023-Q3,0.015544041450777202,0.01683937823834197,0.019430051813471502,0.007772020725388601,0.006476683937823834,-0.001295336787564768,772,0.180321604013443,0.10489484667778015,0.7147835493087769,0.07542675733566284
AAPL,2023-Q4,0.01287001287001287,0.01673101673101673,0.02059202059202059,0.007722007722007722,0.006435006435006435,-0.003861003861003862,777,0.16873732209205627,0.10803979635238647,0.7232229709625244,0.0606975257396698
AAPL,2024-Q1,0.014084507042253521,0.016645326504481434,0.02176696542893726,0.0076824583866837385,0.0076824583866837385,-0.002560819462227913,781,0.247703418135643,0.071388840675354,0.6809077262878418,0.176314577460289
AAPL,2024-Q2,0.012376237623762377,0.01608910891089109,0.022277227722772276,0.007425742574257425,0.006188118811881188,-0.0037128712871287127,808,0.2695450484752655,0.09483527392148972,0.6356196403503418,0.1747097745537758
AAPL,2024-Q3,0.016331658291457288,0.016331658291457288,0.020100502512562814,0.007537688442211055,0.00628140703517588,0.0,796,0.2509934604167938,0.06928609311580658,0.6797204613685608,0.18170736730098724
AAPL,2024-Q4,0.0215885947046843,0.0187372708757637,0.020366598778004,0.0008146639511201,0.0028513238289205,0.0028513238289205,2455,0.2276928424835205,0.0555440336465835,0.7167631387710571,0.1721488088369369
AAPL,2025-Q1,0.014230271668822769,0.018111254851228976,0.02069857697283312,0.007761966364812419,0.00646830530401035,-0.0038809831824062075,773,0.2612103819847107,0.0682755634188652,0.6705139875411987,0.1929348185658455
AAPL,2025-Q2,0.012578616352201259,0.02012578616352201,0.022641509433962263,0.007547169811320755,0.006289308176100629,-0.007547169811320753,795,0.2795769274234772,0.07025223970413208,0.6501708626747131,0.2093246877193451
AAPL,2025-Q3,0.0158227848101265,0.0189873417721519,0.0221518987341772,0.0026371308016877,0.0015822784810126,-0.0031645569620253,1896,0.2132278680801391,0.068066731095314,0.718705415725708,0.1451611369848251
AAPL,2025-Q4,0.009560229445506692,0.014340344168260038,0.014340344168260038,0.011472275334608031,0.006692160611854685,-0.004780114722753345,1046,0.23526236414909363,0.09538291394710541,0.6693546772003174,0.13987945020198822
AAPL,2026-Q1,0.038443396226415,0.0141509433962264,0.0172169811320754,0.0,0.0047169811320754,0.0242924528301886,4240,0.3451099693775177,0.0471735261380672,0.6077165603637695,0.2979364432394504
AMD,2023-Q1,0.013221990257480862,0.015309672929714684,0.020528879610299235,0.0041753653444676405,0.0027835768963117608,-0.002087682672233821,2874,0.27458247542381287,0.25960639119148254,0.4658111035823822,0.014976084232330322
AMD,2023-Q2,0.014595103578154425,0.022598870056497175,0.025894538606403013,0.006120527306967985,0.00423728813559322,-0.00800376647834275,2124,0.26655104756355286,0.08185746520757675,0.6515914797782898,0.1846935823559761
AMD,2023-Q3,0.015001973943939992,0.021318594551914725,0.021318594551914725,0.005132254243979471,0.0035530990919857876,-0.006316620607974733,2533,0.2909194231033325,0.11887622624635696,0.5902043581008911,0.17204319685697556
AMD,2023-Q4,0.014884449667058363,0.01645123384253819,0.023501762632197415,0.0050920485703094395,0.0035252643948296123,-0.0015667841754798285,2553,0.3282274305820465,0.10205142199993134,0.5697211027145386,0.22617600858211517
AMD,2024-Q1,0.014342629482071713,0.01593625498007968,0.020717131474103586,0.0051792828685258965,0.0035856573705179283,-0.0015936254980079678,2510,0.2748929262161255,0.12002605944871902,0.6050809621810913,0.15486686676740646
AMD,2024-Q2,0.016302016302016303,0.024024024024024024,0.023166023166023165,0.009438009438009438,0.003861003861003861,-0.0077220077220077205,2331,0.2832221984863281,0.1232084110379219,0.5935694575309753,0.16001378744840622
AMD,2024-Q3,0.013052631578947368,0.02063157894736842,0.02273684210526316,0.009263157894736843,0.003789473684210526,-0.007578947368421053,2375,0.3053313195705414,0.10712318122386932,0.5875455141067505,0.19820813834667206
AMD,2024-Q4,0.015839933305543976,0.013338891204668612,0.022926219258024176,0.007919966652771988,0.003334722801167153,0.002501042100875364,2399,0.2792898714542389,0.09182176738977432,0.6288883686065674,0.18746810406446457
AMD,2025-Q1,0.01770592763664357,0.018860662047729022,0.02155504234026174,0.008852963818321785,0.004618937644341801,-0.0011547344110854514,2598,0.3053842782974243,0.1317472606897354,0.5628684759140015,0.1736370176076889
AMD,2025-Q2,0.016595744680851062,0.02,0.023829787234042554,0.010212765957446808,0.005957446808510639,-0.0034042553191489383,2350,0.2844037711620331,0.12546469271183014,0.5901315212249756,0.15893907845020294
AMD,2025-Q3,0.012089157536834151,0.018511522478277295,0.023800528900642236,0.006422364941443143,0.007933509633547412,-0.006422364941443144,2647,0.2654278576374054,0.11248286813497543,0.6220893263816833,0.15294498950242996
AMD,2025-Q4,0.009864815491413957,0.021191085129704055,0.023748629886737302,0.010230179028132993,0.006941907197661673,-0.011326269638290098,2737,0.2921762466430664,0.0953083261847496,0.6125154495239258,0.1968679204583168
AMD,2026-Q1,0.011045655375552283,0.02687776141384389,0.025036818851251842,0.010309278350515464,0.007363770250368188,-0.015832106038291605,2716,0.2825300991535187,0.11534590274095535,0.602124035358429,0.16718419641256332
AMZN,2021-Q1,0.0371720116618075,0.0174927113702623,0.0163994169096209,0.0007288629737609,0.0014577259475218,0.0196793002915451,2744,0.3541813790798187,0.0576974526047706,0.5881211757659912,0.296483926475048
AMZN,2021-Q2,0.0291130670277589,0.0186188219363574,0.0182802979011509,0.0016926201760324,0.0037237643872714,0.0104942450914014,2954,0.3728353977203369,0.0994811132550239,0.5276835560798645,0.2733542844653129
AMZN,2021-Q3,0.0260691271236086,0.018746338605741,0.0131810193321616,0.0011716461628588,0.0038078500292911,0.0073227885178676,3414,0.294897049665451,0.1045834943652153,0.6005194783210754,0.1903135553002357
AMZN,2021-Q4,0.0351201478743068,0.0206407886629698,0.0166358595194085,0.0009242144177449,0.0018484288354898,0.014479359211337,3246,0.3333756029605865,0.08370041847229,0.582923948764801,0.2496751844882965
AMZN,2022-Q1,0.0166725789286981,0.0244767648102163,0.021993614757006,0.0007094714437743,0.0021284143313231,-0.0078041858815182,2819,0.2607573270797729,0.1514245569705963,0.5878180861473083,0.1093327701091766
AMZN,2022-Q2,0.036420395421436,0.0194242108914325,0.0176899063475546,0.0017343045438779,0.0031217481789802,0.0169961845300034,2883,0.3162717819213867,0.1364793926477432,0.5472488403320312,0.1797923892736435
AMZN,2022-Q3,0.0333850931677018,0.0221273291925465,0.0182453416149068,0.0007763975155279,0.0027173913043478,0.0112577639751552,2576,0.3046118319034576,0.1488428562879562,0.5465453863143921,0.1557689756155014
AMZN,2022-Q4,0.0203850509626274,0.0186862967157417,0.0229331823329558,0.0028312570781426,0.0019818799546998,0.0016987542468856,3532,0.2488348633050918,0.0987988710403442,0.6523662805557251,0.1500359922647476
AMZN,2023-Q1,0.009186351706036745,0.030183727034120734,0.0,0.0,0.006561679790026247,-0.02099737532808399,762,0.034242626279592514,0.08173337578773499,0.8840239644050598,-0.04749074950814247
AMZN,2023-Q2,0.007874015748031496,0.027559055118110236,0.0,0.0,0.006561679790026247,-0.01968503937007874,762,0.0338694229722023,0.07989950478076935,0.8862310647964478,-0.04603008180856705
AMZN,2023-Q3,0.0301204819277108,0.0148285449490268,0.0139017608897126,0.0,0.000463392029657,0.0152919369786839,2158,0.2731149196624756,0.0817640125751495,0.6451209783554077,0.191350907087326
AMZN,2023-Q4,0.009186351706036745,0.030183727034120734,0.0,0.0,0.006561679790026247,-0.02099737532808399,762,0.03486941009759903,0.08296826481819153,0.8821622729301453,-0.0480988547205925
AMZN,2024-Q1,0.00922266139657444,0.026350461133069828,0.0,0.0,0.006587615283267457,-0.017127799736495388,759,0.0356762558221817,0.07938067615032196,0.8849430680274963,-0.04370442032814026
AMZN,2024-Q2,0.00922266139657444,0.023715415019762844,0.0,0.0,0.006587615283267457,-0.014492753623188404,759,0.03611462935805321,0.07318572700023651,0.8906996250152588,-0.037071097642183304
AMZN,2024-Q3,0.0445580715850986,0.0160701241782322,0.0211833455076698,0.0,0.0014609203798392,0.0284879474068663,1369,0.281268447637558,0.0607606321573257,0.6579709053039551,0.2205078154802322
AMZN,2024-Q4,0.009296148738379814,0.014608233731739707,0.0,0.0,0.006640106241699867,-0.0053120849933598925,753,0.036619581282138824,0.05214214697480202,0.9112382531166077,-0.015522565692663193
AMZN,2025-Q1,0.009320905459387484,0.013315579227696404,0.0,0.0,0.006657789613848202,-0.003994673768308921,751,0.035921454429626465,0.05370967090129852,0.910368800163269,-0.017788216471672058
AMZN,2025-Q2,0.011475409836065573,0.01639344262295082,0.0,0.0,0.0,-0.004918032786885247,610,0.03907334432005882,0.05562833696603775,0.9052982926368713,-0.016554992645978928
AMZN,2025-Q3,0.01155115511551155,0.009900990099009901,0.0,0.0,0.0,0.0016501650165016493,606,0.03823377937078476,0.048792868852615356,0.9129733443260193,-0.010559089481830597
AMZN,2025-Q4,0.0347918890074706,0.0115261472785485,0.0140875133404482,0.0017075773745997,0.0021344717182497,0.023265741728922,4685,0.3463901579380035,0.0544401928782463,0.5991696119308472,0.2919499650597572
AMZN,2026-Q1,0.009900990099009901,0.01155115511551155,0.0,0.0,0.0,-0.0016501650165016493,606,0.039156850427389145,0.06124185398221016,0.8996012210845947,-0.022085003554821014
BAC,2021-Q1,0.0237008685411452,0.015015457088179,0.0160459296334461,0.0020609450905343,0.0032386279994111,0.0086854114529662,6793,0.3084810376167297,0.1308213472366333,0.5606975555419922,0.1776596903800964
BAC,2021-Q2,0.0297701949860724,0.0198467966573816,0.0139275766016713,0.0033077994428969,0.003133704735376,0.0099233983286908,5744,0.2966189980506897,0.1716331094503402,0.5317479372024536,0.1249858886003494
BAC,2021-Q3,0.0305369127516778,0.0172818791946308,0.0137583892617449,0.0011744966442953,0.0021812080536912,0.0132550335570469,5960,0.3321288824081421,0.1095354259014129,0.5583357214927673,0.2225934565067291
BAC,2021-Q4,0.0257611241217798,0.0112412177985948,0.0129586260733801,0.0017174082747853,0.0020296643247462,0.014519906323185,6405,0.3300915956497192,0.0969932377338409,0.5729151368141174,0.2330983579158783
BAC,2022-Q1,0.0249581706636921,0.0185443390964863,0.0165923034021193,0.0019520356943669,0.0013943112102621,0.0064138315672058,7172,0.2989286184310913,0.1218542084097862,0.5792171359062195,0.177074410021305
BAC,2022-Q2,0.0207199297629499,0.0212467076382791,0.0108867427568042,0.0024582967515364,0.0024582967515364,-0.0005267778753292,5695,0.3242112696170807,0.1234724149107933,0.5523163080215454,0.2007388547062873
BAC,2022-Q3,0.0243337195828505,0.0218713789107763,0.0117323290845886,0.0039107763615295,0.0014484356894553,0.0024623406720741,6904,0.2944281101226806,0.1316248178482055,0.573947012424469,0.1628032922744751
BAC,2025-Q3,0.013869896464153155,0.024028130494237156,0.019925766751318616,0.00840007814026177,0.0033209611252197693,-0.010158234030084002,5119,0.14807835221290588,0.05357595533132553,0.798345685005188,0.09450239688158035
BAC,2025-Q4,0.01614785992217899,0.022957198443579768,0.018093385214007784,0.008560311284046693,0.0033073929961089494,-0.006809338521400778,5140,0.16353391110897064,0.05154186487197876,0.7849242091178894,0.11199204623699188
BAC,2026-Q1,0.014874788175484844,0.02278290340802109,0.018452268875917905,0.009790999811711542,0.0035774807004330636,-0.007908115232536246,5311,0.1500607579946518,0.05452698841691017,0.7954122424125671,0.09553376957774162
BAC,2026-Q2,0.015980823012385136,0.022772672792648822,0.018178186176588094,0.00898921294446664,0.004194966040751098,-0.006791849780263686,5006,0.17307281494140625,0.05068541318178177,0.7762417793273926,0.12238740175962448
CVX,2023-Q1,0.005688282138794084,0.032423208191126277,0.01478953356086462,0.010238907849829351,0.01080773606370876,-0.026734926052332193,1758,0.07550226151943207,0.09288238734006882,0.8316153883934021,-0.01738012582063675
CVX,2023-Q2,0.006507592190889371,0.039045553145336226,0.01735357917570499,0.010845986984815618,0.010845986984815618,-0.03253796095444685,1383,0.06375054270029068,0.13762085139751434,0.798628568649292,-0.07387030869722366
CVX,2023-Q3,0.0099601593625498,0.03718459495351926,0.019256308100929615,0.010624169986719787,0.0099601593625498,-0.02722443559096946,1506,0.08590264618396759,0.12005259096622467,0.7940447330474854,-0.03414994478225708
CVX,2023-Q4,0.008666666666666666,0.037333333333333336,0.02,0.012,0.01,-0.02866666666666667,1500,0.06371080875396729,0.12788508832454681,0.8084040880203247,-0.06417427957057953
CVX,2024-Q1,0.008813559322033898,0.03932203389830508,0.020338983050847456,0.012203389830508475,0.01152542372881356,-0.030508474576271184,1475,0.06562101095914841,0.13388335704803467,0.8004956245422363,-0.06826234608888626
CVX,2024-Q2,0.010046885465505693,0.03884795713328868,0.024112525117213665,0.01406563965170797,0.009377093101138647,-0.028801071667782986,1493,0.06498248875141144,0.1309390813112259,0.8040784597396851,-0.06595659255981445
CVX,2024-Q3,0.00867244829886591,0.038692461641094064,0.02268178785857238,0.014009339559706471,0.009339559706470981,-0.030020013342228154,1499,0.06417670845985413,0.13919706642627716,0.7966261506080627,-0.07502035796642303
CVX,2024-Q4,0.009727626459143969,0.03826199740596628,0.022697795071335927,0.01297016861219196,0.009079118028534372,-0.02853437094682231,1542,0.0633462518453598,0.16716890037059784,0.76948481798172,-0.10382264852523804
CVX,2025-Q1,0.009487666034155597,0.03984819734345351,0.022137887413029727,0.015812776723592662,0.012017710309930424,-0.030360531309297913,1581,0.0624573677778244,0.16135428845882416,0.776188313961029,-0.09889692068099976
CVX,2025-Q2,0.010178117048346057,0.03816793893129771,0.023536895674300253,0.013994910941475827,0.008905852417302799,-0.027989821882951654,1572,0.06343646347522736,0.14951087534427643,0.7870526313781738,-0.08607441186904907
CVX,2025-Q3,0.009609224855861628,0.037155669442664956,0.017937219730941704,0.011531069827033953,0.008968609865470852,-0.027546444586803328,1561,0.06391593813896179,0.1375589817762375,0.7985250949859619,-0.0736430436372757
CVX,2025-Q4,0.009529860228716646,0.03748411689961881,0.017789072426937738,0.011435832274459974,0.008894536213468869,-0.027954256670902164,1574,0.06427942216396332,0.14079900085926056,0.7949216365814209,-0.07651957869529724
CVX,2026-Q1,0.008744534665833853,0.03872579637726421,0.017489069331667707,0.014990630855715179,0.010618363522798251,-0.02998126171143036,1601,0.06314607709646225,0.13587027788162231,0.8009836673736572,-0.07272420078516006
GOOGL,2021-Q1,0.0381582294581531,0.0132281862121597,0.008903586873569,0.000763164589163,0.0012719409819384,0.0249300432459933,3931,0.3441507518291473,0.0564640760421752,0.599385142326355,0.287686675786972
GOOGL,2021-Q2,0.0323578396383535,0.0121341898643825,0.0092790863668807,0.0011896264572924,0.0007137758743754,0.0202236497739709,4203,0.379739373922348,0.0472415760159492,0.5730190277099609,0.3324977979063988
GOOGL,2021-Q3,0.0281818181818181,0.0138636363636363,0.0088636363636363,0.0013636363636363,0.0009090909090909,0.0143181818181818,4400,0.3293957412242889,0.0482507646083831,0.6223534941673279,0.2811449766159057
GOOGL,2021-Q4,0.0351727042965459,0.0120050547598989,0.0086352148272957,0.0018955349620893,0.0014743049705139,0.023167649536647,4748,0.3369415402412414,0.0490642003715038,0.6139942407608032,0.2878773398697376
GOOGL,2022-Q1,0.0313778990450204,0.0187585266030013,0.0102319236016371,0.0013642564802182,0.0013642564802182,0.0126193724420191,2932,0.2915212512016296,0.0669109001755714,0.6415678858757019,0.2246103510260582
GOOGL,2022-Q2,0.0341981132075471,0.0136792452830188,0.0136792452830188,0.0002358490566037,0.0018867924528301,0.0205188679245283,4240,0.3199955821037292,0.0868505463004112,0.5931538939476013,0.233145035803318
GOOGL,2022-Q3,0.0287561301827909,0.0158270173874275,0.0100312082032991,0.000222915737851,0.0008916629514043,0.0129291127953633,4486,0.2947326898574829,0.1080423220992088,0.59722501039505,0.186690367758274
GOOGL,2022-Q4,0.0441105186621425,0.015026660203587,0.0060591371788657,0.0004847309743092,0.0012118274357731,0.0290838584585555,4126,0.3423386216163635,0.0945107489824295,0.5631506443023682,0.247827872633934
GOOGL,2023-Q1,0.014705882352941176,0.014161220043572984,0.017429193899782137,0.0027233115468409588,0.0027233115468409588,0.0005446623093681921,1836,0.15368492901325226,0.15382982790470123,0.6924852132797241,-0.0001448988914489746
GOOGL,2023-Q2,0.0381679389312977,0.0147582697201017,0.010178117048346,0.0005089058524173,0.0015267175572519,0.0234096692111959,1965,0.2513691782951355,0.0412708222866058,0.7073599696159363,0.2100983560085296
GOOGL,2023-Q3,0.01788375558867362,0.011922503725782414,0.015896671634376552,0.003477396920019871,0.003974167908594138,0.005961251862891207,2013,0.18771964311599731,0.12467356026172638,0.6876068115234375,0.06304608285427094
GOOGL,2023-Q4,0.012672176308539946,0.013774104683195593,0.01652892561983471,0.0027548209366391185,0.0027548209366391185,-0.001101928374655647,1815,0.1465780884027481,0.1601908802986145,0.6932311058044434,-0.013612791895866394
GOOGL,2024-Q1,0.014218009478672985,0.01263823064770932,0.01369141653501843,0.00421274354923644,0.00210637177461822,0.0015797788309636646,1899,0.1634240597486496,0.12640076875686646,0.7101752161979675,0.03702329099178314
GOOGL,2024-Q2,0.0380434782608695,0.0157608695652173,0.0108695652173913,0.0005434782608695,0.0016304347826086,0.0222826086956521,1840,0.2906191051006317,0.0510875880718231,0.6582933068275452,0.2395315170288086
GOOGL,2024-Q3,0.015186915887850467,0.013434579439252336,0.015186915887850467,0.0035046728971962616,0.002336448598130841,0.001752336448598131,1712,0.11973480135202408,0.09821739047765732,0.7820477485656738,0.02151741087436676
GOOGL,2024-Q4,0.015907844212835986,0.012068019747668678,0.01426220515633571,0.0032912781130005485,0.0021941854086670325,0.003839824465167308,1823,0.22719919681549072,0.10192571580410004,0.670875072479248,0.12527348101139069
GOOGL,2025-Q1,0.016255899318300997,0.012585212375458836,0.014682747771368642,0.003146303093864709,0.0015731515469323545,0.0036706869428421614,1907,0.21402905881404877,0.09347467124462128,0.6924962401390076,0.12055438756942749
GOOGL,2025-Q2,0.01714898177920686,0.011789924973204717,0.014469453376205787,0.003215434083601286,0.001607717041800643,0.005359056806002143,1866,0.24736706912517548,0.08762597292661667,0.6650069355964661,0.1597410961985588
GOOGL,2025-Q3,0.01799775028121485,0.012373453318335208,0.016310461192350956,0.0044994375703037125,0.001687289088863892,0.0056242969628796415,1778,0.2657795250415802,0.08313441276550293,0.6510860919952393,0.18264511227607727
GOOGL,2025-Q4,0.0439742791951877,0.0093341630367143,0.009749014727235,0.0002074258452603,0.0020742584526031,0.0346401161584733,4821,0.4011194109916687,0.047523844987154,0.5513567328453064,0.3535955660045147
GOOGL,2026-Q1,0.012613521695257316,0.01160443995963673,0.014127144298688193,0.0025227043390514633,0.0015136226034308778,0.0010090817356205855,1982,0.25494837760925293,0.09335506707429886,0.6516965627670288,0.16159331053495407
GS,2025-Q3,0.004665629860031105,0.011923276308968377,0.01607050285121825,0.004665629860031105,0.0010368066355624676,-0.007257646448937272,1929,0.2661478519439697,0.2695558965206146,0.46429622173309326,-0.0034080445766448975
GS,2025-Q4,0.008350730688935281,0.0020876826722338203,0.0041753653444676405,0.025052192066805846,0.0041753653444676405,0.006263048016701461,479,0.024874642491340637,0.03377305343747139,0.941352367401123,-0.008898410946130753
GS,2026-Q1,0.0038910505836575876,0.015175097276264591,0.012062256809338522,0.005058365758754864,0.002723735408560311,-0.011284046692607004,2570,0.3573409914970398,0.24254964292049408,0.40010935068130493,0.11479134857654572
GS,2026-Q2,0.004112808460634548,0.012338425381903642,0.018213866039952998,0.004112808460634548,0.0017626321974148062,-0.008225616921269094,1702,0.2349303811788559,0.2401755452156067,0.5248939990997314,-0.0052451640367507935
JNJ,2021-Q1,0.0366765166000347,0.0264209977403094,0.0189466365374587,0.0019120458891013,0.003128802363984,0.0102555188597253,5753,0.3931451141834259,0.0735990405082702,0.5332558155059814,0.3195460736751556
JNJ,2021-Q2,0.0396914671380363,0.0186405270769725,0.0151052547003053,0.0009641651936365,0.0017676361883336,0.0210509400610637,6223,0.4181960821151733,0.0773902907967567,0.5044136643409729,0.3408057913184166
JNJ,2021-Q3,0.0342906129447063,0.0265752250321474,0.0165023574796399,0.0055722246035147,0.0045006429489927,0.0077153879125589,4666,0.3847901523113251,0.1098872274160385,0.5053226351737976,0.2749029248952865
JNJ,2021-Q4,0.0419955794126934,0.019734764761604,0.0191032522892327,0.0011051468266498,0.0033154404799494,0.0222608146510893,6334,0.4171047508716583,0.0950051471590995,0.4878901243209839,0.3220996037125587
JNJ,2022-Q1,0.0301497369486038,0.0196276811007689,0.0149736948603804,0.0004046944556859,0.0032375556454876,0.0105220558478348,4942,0.3629050850868225,0.0931500717997551,0.5439448356628418,0.2697550132870674
JNJ,2022-Q2,0.047325555800132,0.0217917675544794,0.0136473695795729,0.0039621395553598,0.0037420206911732,0.0255337882456526,4543,0.3964103162288666,0.0927647799253463,0.5108249187469482,0.3036455363035202
